controle
ESTOQUE PRINCIPAL - FILIAL
CORTE LOGÍSTICO
ACORDO COMERCIAL
AVARIAS
DESVIO DE QUALIDADE
RECALL
VENCIDOS (GERAL)
INVENTÁRIO
RECEBIMENTO
TRÂNSITO FATURAMENTO
DEVOLUÇÃO
TRÂNSITO MOVIMENTAÇÃO INTERNA
ESTOQUE FICTÍCIO
SEGREGAÇÃO
RESERVA DE PEDIDO
ESTOQUE PRINCIPAL -MATRIZ
MERCADO ENVIO
AVERIGUAÇÃO
EXTRAVIO
VENCIDOS (SENSIVEIS)
OCORRÊNCIA DE TRANSFERÊNCIAS
